game_id,move_number,move_played,piece_type,best_move,cp_loss,move_category,fen_before,score_before,score_after
e4ipnUGV,16,Be7,Bishop,Qb6,24,Good,rnbqkb1r/1p3pp1/p2ppn1p/8/3NPP1B/2N5/PPP3PP/R2QKB1R b KQkq - 1 8,34,58
e4ipnUGV,18,Nbd7,Knight,Nc6,8,Good,rnbqk2r/1p2bpp1/p2ppn1p/8/3NPP1B/2N2Q2/PPP3PP/R3KB1R b KQkq - 3 9,61,69
e4ipnUGV,20,Qc7,Queen,g5,37,Inaccuracy,r1bqk2r/1p1nbpp1/p2ppn1p/8/3NPP1B/2N2Q2/PPP3PP/2KR1B1R b kq - 5 10,44,81
e4ipnUGV,22,b5,Pawn,b5,19,Good,r1b1k2r/1pqnbpp1/p2ppn1p/8/3NPP1B/2N2Q2/PPP1B1PP/2KR3R b kq - 7 11,31,50
e4ipnUGV,24,Nxf6,Knight,Nxf6,2,Good,r1b1k2r/2qnbpp1/p2ppB1p/1p6/3NPP2/2N2Q2/PPP1B1PP/2KR3R b kq - 0 12,46,48
e4ipnUGV,26,Bb7,Bishop,Bb7,-4,Good,r1b1k2r/2q1bpp1/p2ppn1p/1p2P3/3N1P2/2N2Q2/PPP1B1PP/2KR3R b kq - 0 13,42,38
e4ipnUGV,28,dxe5,Pawn,dxe5,13,Good,r3k2r/1bq1bpp1/p2ppn1p/1p2P3/3N1P2/2N3Q1/PPP1B1PP/2KR3R b kq - 2 14,54,67
e4ipnUGV,30,Ne4,Knight,Ne4,16,Good,r3k2r/1bq1bpp1/p3pn1p/1p2P3/3N4/2N3Q1/PPP1B1PP/2KR3R b kq - 0 15,31,47
e4ipnUGV,32,Qxc3,Queen,Qxc3,13,Good,r3k2r/1bq1bpp1/p3N2p/1p2P3/4n3/2N3Q1/PPP1B1PP/2KR3R b kq - 0 16,29,42
e4ipnUGV,34,Kf8,King,Kf8,4,Good,r3k2r/1b2bpN1/p6p/1p2P3/4n3/2q3Q1/PPP1B1PP/2KR3R b kq - 0 17,29,33
e4ipnUGV,36,Ke8,King,Ke8,-3,Good,r4k1r/1b2bp2/p3N2p/1p2P3/4n3/2q3Q1/PPP1B1PP/2KR3R b - - 2 18,47,44
e4ipnUGV,38,Nxc3,Knight,Nxc3,13,Good,r3k2r/1b2bp2/p3N2p/1p2P3/4n3/2Q5/PPP1B1PP/2KR3R b - - 0 19,32,45
e4ipnUGV,40,Kf8,King,Kf8,-1,Good,r3k2r/1bN1bp2/p6p/1p2P3/8/2n5/PPP1B1PP/2KR3R b - - 1 20,41,40
e4ipnUGV,42,Rc8,Rook,Rc8,8,Good,r4k1r/1bN1bp2/p6p/1p2P3/8/2P5/P1P1B1PP/2KR3R b - - 0 21,42,50
e4ipnUGV,44,Ba3+,Bishop,Ba3+,10,Good,2r2k1r/1b2bp2/p6p/1p1NP3/8/2P5/P1P1B1PP/2KR3R b - - 2 22,45,55
e4ipnUGV,46,Bxd5,Bishop,Bxd5,-9,Good,2r2k1r/1b3p2/p6p/1p1NP3/8/b1P5/P1P1B1PP/1K1R3R b - - 4 23,40,31
e4ipnUGV,48,Rg8,Rook,Rg8,-3,Good,2r2k1r/5p2/p6p/1p1RP3/8/b1P5/P1P1B1PP/1K5R b - - 0 24,31,28
e4ipnUGV,50,Rxc3,Rook,Rxc3,4,Good,2r2kr1/5p2/p6p/1p1RP3/8/b1P3P1/P1P1B2P/1K5R b - - 0 25,15,19
e4ipnUGV,52,Rg5,Rook,Ke7,11,Good,5kr1/5p2/p6p/1p1RP3/8/b1r3P1/P1P1B2P/1K3R2 b - - 1 26,6,17
e4ipnUGV,54,Rg4,Rook,Rg4,0,Good,5k2/5p2/p6p/1p1RP1r1/8/b1rB2P1/P1P4P/1K3R2 b - - 3 27,0,0
e4ipnUGV,56,Rxf4,Rook,Rxf4,3,Good,5k2/5p2/p6p/1p1RP3/5Rr1/b1rB2P1/P1P4P/1K6 b - - 5 28,4,7
